package,mentions,example
@aomi-labs/client,14,"- **Requires `@aomi-labs/client` v0.1.30 or newer.** Older versions lack `--aa`, `--aa-provider`, `--aa-mode` and the si"
@youmind-ai/cli,14,Conduct deep research on any topic using [YouMind](https://youmind.com?utm_source=youmind-deep-research)'s AI research a
chromium,13,"| `Error: playwright not installed` | `npm install` never ran in the skill dir | Run `npm install`, then `npx playwright"
marked,12,- Install marked globally for CLI: `npm install -g marked`
@tobilu/qmd,12,- qmd: `npm i -g @tobilu/qmd`
@capawesome/capacitor-live-update,12,- **Capacitor 8**: `npm install @capawesome/capacitor-live-update@latest`
diffity,12,"1. Check that `diffity` is available: run `which diffity`. If not found, install it with `npm install -g diffity`."
zerion-cli,12,Trails handles the bridge + vault deposit; the Zerion CLI handles funding the wallet beforehand and confirming the vault
@saleor/macaw-ui,12,Install via `npm install @saleor/macaw-ui` -- fetch live docs for the current version and available components.
scripts,12,"- Node.js, Playwright, and Chrome/Chromium for screenshot evidence capture (`npm install --prefix scripts`)"
mppx,11,- **MPP**: 7 direct read routes accept accountless payments. SDK: `npm i mppx@0.8.12 viem@2.55.4`.
apify-cli,11,- Apify CLI v1.5.0+ (`npm install -g apify-cli`)
gitnexus,11,"> **Not analyzed yet, or `node .gitnexus/run.cjs` reports `Cannot find module`** (the gitignored runner is absent — e.g."
@llamaindex/liteparse,11,"Otherwise if installing globally, use `pnpm install -g @llamaindex/liteparse` and then run `lit <args>`."
hyperframes,11,2. Installs the `hyperframes` CLI globally (`npm install -g hyperframes@>=0.4.2`).
bun,11,| Bun runtime | `brew install oven-sh/bun/bun` (macOS) or `npm install -g bun` |
@emblemvault/agentwallet,11,**Requires the CLI**: `npm install -g @emblemvault/agentwallet`
sonner,11,(`pnpm add sonner @iblai/iblai-web-mentor`)
@iblai/iblai-web-mentor,11,(`pnpm add sonner @iblai/iblai-web-mentor`)
apify,10,| JS/TS | `npm install apify` | `await Actor.init()` ... `await Actor.exit()` |
eslint,10,1. Install ESLint deps first: `pnpm add -wD eslint@^9 @nx/eslint-plugin typescript-eslint` (plus framework-specific plug
portless,10,Named URLs are stable across restarts and self-documenting in performance reports. Install Portless with `npm i -g portl
pyright,10,| Python   | `pyright`                    | `npm i -g pyright`                            |
@labring/sealos-desktop-sdk,10,Use `npm install @labring/sealos-desktop-sdk` or `yarn add @labring/sealos-desktop-sdk` when the project uses a differen
vibium,10,| Platform | `npm install -g vibium` | `vibium go <url>` | smoke-test.sh |
@cloudbase/js-sdk,9,"- For React, Vue, Vite, Webpack, and other modern frontend projects, prefer `npm install @cloudbase/js-sdk`"
@azure/cosmos,9,| `@azure/cosmos` | Data plane (this SDK) | `npm install @azure/cosmos` |
@azure/arm-cosmosdb,9,| `@azure/arm-cosmosdb` | Management plane (ARM) | `npm install @azure/arm-cosmosdb` |
@azure/identity,9,| `@azure/identity` | Authentication | `npm install @azure/identity` |
@x402/evm,9,"| `pip install ""browser-use-sdk[x402]""` | `npm install browser-use-sdk @x402/fetch @x402/evm viem` |"
better-auth,9,**Core:** `npm install better-auth`
@jackwener/opencli,9,1. 安装 opencli: `npm install -g @jackwener/opencli`
mint,9,"Install with `npm i -g mint`. Key commands: `mint dev` (local preview), `mint validate`, `mint broken-links`, `mint a11y"
@vapi-ai/server-sdk,9,- **TypeScript** — `npm install @vapi-ai/server-sdk`
@vapi-ai/web,9,"- **Web SDK** — `npm install @vapi-ai/web` (client-side, uses public API key)"
vitest,9,- **Install:** `npm install --save-dev vitest`
@shopify/cli,8,| CLI install      | `npm install -g @shopify/cli`                                       |
@actionbookdev/json-ui,8,"2. To install the renderer, run: `npm install -g @actionbookdev/json-ui`"
@lambdatest/smartui-cli,8,| Install | `npm install @lambdatest/smartui-cli` |
newman-reporter-htmlextra,8,Optional HTML reporter: `npm install -g newman-reporter-htmlextra`
vite-plugin-neon-new,8,"For Vite projects, `vite-plugin-neon-new` auto-provisions a database on `vite dev` if `DATABASE_URL` is missing. Install"
@getpara/cli,8,- Prereqs: `npm install -g @getpara/cli` + `para login`. The monskills hook gates `para` commands until both are satisfi
agentwallet-sdk,8,> **Prerequisites**: Install the package before adding the MCP config — `npx` without `-y` will prompt for confirmation 
oh-my-claude-sisyphus,8,- **Terminal CLI commands**: run `omc ...` from your shell after installing the npm/runtime path (`npm i -g oh-my-claude
jsonwebtoken,8,"Good: ""Run `npm install jsonwebtoken`, then edit `src/auth.ts:42`."""
@composio/core,7,| Vercel AI | `npm install @composio/core @composio/vercel` |
@composio/vercel,7,| Vercel AI | `npm install @composio/core @composio/vercel` |
@types/jest,7,3. Install test runner deps: `pnpm add -wD jest jest-environment-jsdom ts-jest @types/jest`
akf-format,7,- npm: `npm install akf-format`
@raydenui/ui,7,- Install `@raydenui/ui` in your project first (`npm install @raydenui/ui`)
@noble/ed25519,7,"- `@noble/ed25519` (for the witness verifier — a single runtime dep, `npm i @noble/ed25519`)"
pdfjs-dist,7,**PDF tables not detected** — Line-based detection requires pdfjs-dist installed. Install it: `npm install pdfjs-dist`. 
open-agreements,7,- Alternative: install Node.js 20+ and `npm install -g open-agreements`
genkit-cli,7,"-   If not found or if an older version (1.x < 1.29.0) is present, install/upgrade it: `npm install -g genkit-cli@^1.29."
wagmi,7,2. Install peer dependencies: `npm install wagmi viem @tanstack/react-query`
@tailwindcss/postcss,7,2. Install: `npm install tailwindcss @tailwindcss/postcss postcss`
postcss,7,2. Install: `npm install tailwindcss @tailwindcss/postcss postcss`
@moonpay/cli,7,2. **MoonPay CLI** — `npm install -g @moonpay/cli`
sfw,7,| npm | `npm install -g sfw` |
@ucp-js/sdk,7,- **JS/TS**: `npm install @ucp-js/sdk` for TypeScript types and Zod schemas.
express,6,- SDK: `pip install twilio flask` / `npm install twilio express`
@nodeops-createos/integration-oauth,6,- npm: `npm install @nodeops-createos/integration-oauth`
playwright-chromium,6,**Export prerequisite**: `pnpm add -D playwright-chromium` is required for PDF/PPTX/PNG export. If export fails with a b
@microsoft/workiq,6,- `npm install -g @microsoft/workiq` (or `npx -y @microsoft/workiq mcp`).
opencode-ai,6,| OpenCode | `npm install -g opencode-ai` or `brew install anomalyco/tap/opencode` |
@nx/eslint-plugin,6,1. Install ESLint deps first: `pnpm add -wD eslint@^9 @nx/eslint-plugin typescript-eslint` (plus framework-specific plug
typescript-eslint,6,1. Install ESLint deps first: `pnpm add -wD eslint@^9 @nx/eslint-plugin typescript-eslint` (plus framework-specific plug
@nx/react,6,**Fix**: `pnpm add -wD @nx/react`
jest-environment-jsdom,6,3. Install test runner deps: `pnpm add -wD jest jest-environment-jsdom ts-jest @types/jest`
ts-jest,6,3. Install test runner deps: `pnpm add -wD jest jest-environment-jsdom ts-jest @types/jest`
pngjs,6,its `node_modules`. Install once: `npm i -D @playwright/test axe-core pngjs && npx playwright install chromium`.
@marswave/coli,6,"3. If `coli` missing: inform user to install (`npm install -g @marswave/coli`), ask them to paste text instead"
mmx-cli,6,| mmx not found | `npm install -g mmx-cli` |
@total-typescript/shoehorn,6,- [ ] Install: `npm i @total-typescript/shoehorn`
@angular/cli,6,3. Angular CLI installed (`npm install -g @angular/cli`).
openclaw,6,"**Telegram-triggered `sudo npm i -g openclaw@latest` fails with ""elevated is not available"".**"
tsc,6,"Run `npx tsc --noEmit` in the project root and report all TypeScript type errors found. If there are no errors, confirm "
@forge/cli,6,"- **""forge: command not found""**: `npm install -g @forge/cli`"
pixelmatch,6,`npm i -D playwright pixelmatch pngjs --no-save --legacy-peer-deps`.
@opensea/cli,6,> **Recommended:** Use the `opensea` CLI (`@opensea/cli`) as your primary tool. Install with `npm install -g @opensea/cl
@midscene/core,6,| **`@midscene/*` dependency version is outdated** | Check local versions with `npm ls @midscene/android @midscene/core 
@midscene/shared,6,| **`@midscene/*` dependency version is outdated** | Check local versions with `npm ls @midscene/android @midscene/core 
dmux,6,**安装：** `npm install -g dmux` 或参见 [github.com/standardagents/dmux](https://github.com/standardagents/dmux)
neural-trader,6,`npm ls neural-trader 2>/dev/null || npm install --ignore-scripts neural-trader`
skills,6,> **Prerequisite**: The `vercel flags` commands require the Vercel CLI to be installed and authenticated. If the Vercel 
pyodide,6,- pnpm → `pnpm add pyodide@0.29.3`
cyrus-core,6,- `npm install cyrus-core@test` will install this version.
@sinch/sdk-core,6,| Node.js | `@sinch/sdk-core` | `npm install @sinch/sdk-core` |
puppeteer-core,6,"**Dependencies:** Requires `puppeteer-core` and `marked` (optional, install with `npm install -g puppeteer-core marked`)"
olakai-cli,6,1. Olakai CLI installed: `npm install -g olakai-cli`
@avail-project/nexus-core,6,- `npm install @avail-project/nexus-core`
@supsub/cli,6,- 安装：`curl -fsSL https://raw.githubusercontent.com/SupSub-AI/supsub-cli/master/scripts/install.sh | bash`（native 安装，装到 `
@googleworkspace/cli,6,| `Google Workspace CLI (gws) is not installed` | Install with `npm install -g @googleworkspace/cli` |
@sentry/nextjs,6,| `onRequestError` not firing | SDK version < 8.28.0 | Upgrade: `npm install @sentry/nextjs@latest` |
sfcc-ci,6,| sfcc-ci | B2C | `npm install -g sfcc-ci` | `sfcc-ci client:auth` (client ID + secret) |
@bigcommerce/big-design,6,- Install: `npm install @bigcommerce/big-design`
@saleor/cli,6,Install via `npm i -g @saleor/cli` -- fetch live docs for current CLI version.
@saleor/app-sdk,6,Install via `npm install @saleor/app-sdk` -- fetch live docs for the current version.
knip,5,"- If not installed locally, install with `npm install -D knip` (or pnpm/yarn/bun equivalent based on lockfile present)"
@stripe/cli,5,"If you don’t have a Stripe account, you can call a CLI command to generate working API keys with no registration require"
snyk,5,| Snyk CLI | Commercial scanner | `npm install -g snyk` |
@railway/cli,5,"- If `railway` command is not found, install via `npm i -g @railway/cli` or `brew install railway`."
@marswave/listenhub-cli,5,1. Auto-install: run `npm install -g @marswave/listenhub-cli` silently
@membranehq/cli,5,"If `npx` is awkward, install globally: `npm i -g @membranehq/cli@1.18.1` and use plain `membrane …`. Add `--json` to any"
browser-use-sdk,5,- Cloud SDK: `uv pip install browser-use-sdk` (Python) or `npm install browser-use-sdk` (TypeScript)
@qdrant/js-client-rest,5,- JavaScript / TypeScript — [qdrant-js](https://github.com/qdrant/qdrant-js) · Installation: `npm install @qdrant/js-cli
camoufox-js,5,> Install it with: `npm install camoufox-js && npx camoufox-js fetch`
agentation,5,"| `button ""npm install agentation Copy"" [ref=e15]` | `button:has(code)` or by text content via eval |"
@supabase/supabase-js,5,- [ ] Install: `npm install @supabase/supabase-js`
bash-language-server,5,| Bash     | `bashls`                     | `npm i -g bash-language-server`               |
yaml-language-server,5,| YAML     | `yamlls`                     | `npm i -g yaml-language-server`               |
netlify-cli,5,The CLI ships a complete database surface under `netlify database` (alias: `netlify db`) that replaces hand-rolled scrip
@github/copilot,5,"| All (npm, Node.js 22+) | `npm install -g @github/copilot`                   |"
socialclaw,5,- CLI (optional): `npm install -g socialclaw`
@databricks/appkit,5,- **AppKit version**: never override the `@databricks/appkit` or `@databricks/appkit-ui` version in `package.json` — `da
@playwright/cli,5,"- **`@playwright/cli` is available via devDependencies.** Run `npm install` at the repo root, then use `npx @playwright/"
doctor,5,macOS Apple Silicon or Linux x64. System tools: `brew install node ffmpeg`. `npx hyperframes doctor` once. macOS GPU ren
eve,5,"If `eve` is not installed yet, install it (`npm install eve`) or scaffold a new"
firecrawl-cli,5,Not installed? Run: `npm install -g firecrawl-cli && firecrawl auth`
undici,5,- **Twitter fetch failed?** Ensure `undici` is installed: `npm install -g undici`. Configure proxy: `agent-reach configu
lucide-react,5,"If `NO_ICONS`, install `lucide-react`: `npm install lucide-react --legacy-peer-deps`. If an icon package is already pres"
@solana/web3.js,5,- **@solana/web3.js** installed (`npm install @solana/web3.js`)
tsx,5,"- Use `tsx` for local scripts (`pnpm add -D tsx`), avoid `ts-node` unless necessary."
firebase,5,`npm install -g firebase@latest`
edgeone,5,| `command not found: edgeone` | Run `npm install -g edgeone@latest` |
jsdom,5,| Vite/React/Vue | Vitest | `npm i -D vitest @testing-library/react jsdom` |
convex,5,- [ ] `npm install convex` completed
@browserbasehq/browse-cli,5,"compatibility: ""Requires the browse CLI (`npm install -g @browserbasehq/browse-cli`). For remote testing: BROWSERBASE_AP"
@wenyan-md/cli,5,1. `wenyan --version` 确认安装。未安装时提示 `npm install -g @wenyan-md/cli`，用户不想安装则直接交付手动发布包。
socket,5,- If `socketCli.needsUpdate` is true: warn that the Socket CLI is below 1.x and prompt to update with `npm install -g so
tool,4,- ⚠️ **未固定版本** + 全局安装 → Suspicious（如 `pip install requests`、`npm install -g tool`）
bird-cli,4,- Install: `npm install -g bird-cli`
axiom,4,"If not installed, install it using the project's package manager (e.g., `pnpm add axiom`)."
acpx,4,- `cd extensions/acpx && npm install --omit=dev --no-save acpx@<pinnedVersion>`
analyze,4,"> **Not analyzed yet, or `node .gitnexus/run.cjs` reports `Cannot find module`** (the gitignored runner is absent — e.g."
postman-cli,4,"""Postman CLI is not installed. Install with: `npm install -g postman-cli`"""
axe-core,4,(Scripts need Playwright: `npm i -D @playwright/test axe-core && npx playwright install chromium`.)
altimate-code,4,"| `command not found: altimate-code` | ""altimate-code is not installed. Install with `npm install -g altimate-code` (Nod"
@x402/fetch,4,"| `pip install ""browser-use-sdk[x402]""` | `npm install browser-use-sdk @x402/fetch @x402/evm viem` |"
supermemory,4,4. (Optional) Install the CLI globally: `npm install -g supermemory`
pixi.js,4,"description: ""Use this skill when scaffolding a new PixiJS v8 project with the create-pixi CLI or adding PixiJS to an ex"
@wix/design-system,4,**Prerequisite:** `@wix/design-system` must be installed (`npm i @wix/design-system` or `yarn add @wix/design-system`).
git-escrows,4,"Run `git-escrows --help` to verify the CLI is installed. If it fails, try `npx git-escrows --help` or `bunx git-escrows "
chainbase-cli,4,**Install**: `npm install -g chainbase-cli` (or use `npx chainbase-cli`)
x402,4,"- **x402 SDK** — `npm install x402` for raw payment header signing, or `venice-x402-client` for the managed Venice flow."
mapbox-gl,4,- [ ] **Update package**: `npm install mapbox-gl` (remove maplibre-gl)
@vercel/before-and-after,4,1. **Pre-flight** — `which before-and-after || npm install -g @vercel/before-and-after`
@zeroxyz/cli,4,shells elsewhere) or a standalone CLI install (`npm install -g @zeroxyz/cli`). Trust it
@capacitor/core,4,- **`Capacitor is not defined`**: Install `@capacitor/core` (`npm install @capacitor/core`).
@microsoft/learn-cli,4,Run directly with `npx @microsoft/learn-cli <command>` or install globally with `npm install -g @microsoft/learn-cli`.
ws,4,**解决**：`cd /tmp && npm init -y && npm install ws`
@alwaysmeticulous/cli,4,The skills assume `meticulous` is on `PATH`. The `meticulous-cli-update` skill installs it globally via `npm install --g
wscat,4,- wscat CLI tool for manual WebSocket interaction: `npm install -g wscat`
@adobe/aio-cli,4,compatibility: Requires aio CLI (Adobe I/O CLI) — install or refresh with `npm install -g @adobe/aio-cli` so the bundled
@modelcontextprotocol/server-azure,4,2. Reinstall MCP server: `npm install -g @modelcontextprotocol/server-azure`
@vtsls/language-server,4,| TypeScript | vtsls                      | `npm install -g @vtsls/language-server`                    | `npx cclsp inst
vtsls,4,| TypeScript | vtsls                      | `npm install -g @vtsls/language-server`                    | `npx cclsp inst
vscode-json-languageserver,4,| JSON       | vscode-json-languageserver | `npm install -g vscode-json-languageserver`                | `npx cclsp inst
vscode-html-languageserver,4,| HTML       | vscode-html-languageserver | `npm install -g vscode-html-languageserver`                | `npx cclsp inst
vscode-css-languageserver,4,| CSS        | vscode-css-languageserver  | `npm install -g vscode-css-languageserver`                 | `npx cclsp inst
hermesone,4,`npm install hermesone` **does not** download or launch the app — running an installer as a silent side effect of `npm i
envio-cloud,4,- Prereqs: `npm install -g envio-cloud` + `envio-cloud login`. The monskills hook gates `envio-cloud` commands until bot
jose,4,"1. Install @convex-dev/auth (pinned build) and add it to convex.config.ts. With pnpm, also `pnpm add jose` (it won't hoi"
@modelcontextprotocol/sdk,4,- Install MCP SDK: `npm install @modelcontextprotocol/sdk`
@ai-sdk/openai,4,- **Install:** `npm install ai @ai-sdk/openai @ai-sdk/anthropic`
@misha_misha/skill-issue,4,"Install the CLI (`npm i -g @misha_misha/skill-issue`, `brew install mishanefedov/skill-issue/skill-issue`, or `npx @mish"
@lap-platform/lapsh,4,| `command not found: lapsh` | `npm install -g @lap-platform/lapsh` or use `npx @lap-platform/lapsh` |
@kitschpatrol/tldraw-cli,4,"1. **Check deps** — verify `tldraw --version` succeeds; if missing, run `npm install -g @kitschpatrol/tldraw-cli`."
@hasna/skills,4,"> **This is a CLI skill.** It requires the `skills` CLI to execute. Install it with `npm install -g @hasna/skills`, then"
claude-code,4,2. **Plugin install**: Use `npx add-plugin <path> -s project -y --target claude-code` — works because claude is in PATH 
zcatalyst-cli,4,"compatibility: ""Requires Catalyst CLI (`npm install -g zcatalyst-cli`). Custom Docker deployments additionally require D"
phaser,4,- [ ] Update `npm install phaser@4` (or equivalent)
lim,4,Install if needed: `npm install --global lim`. Auth is `lim login` or
@tanstack/react-query,4,- pnpm → `pnpm add @cognite/dune @cognite/sdk @tanstack/react-query && pnpm add -D vite-plugin-mkcert`
three,4,| `unmet peer three@0.180.0: found 0.177.0` (or similar version) | `@cognite/reveal` requires a specific `three` version
ajv,4,| `unmet peer ajv@>=8: found 6.x` | Monorepo root has `ajv@6`; app needs `ajv@^8` for `@cognite/dune-industrial-componen
pm2,4,"1. Check if pm2 is installed (`which pm2`). If not, install it (`npm install -g pm2`)."
remotion,4,环境允许时（Node 可用）：在 `_starter/` 里 `npm install`，用 `npx remotion still MyVideo out/frame.png --frame=N` 渲 2-3 张关键帧给用户看，确认和 H
lighthouse,4,// Run: chrome://lighthouse or `npm i -g lighthouse`
cloudinary-video-player,4,"- ✅ **Install the latest**: When adding Cloudinary packages, use `npm install <package>` **with no version** so npm inst"
@google/stitch-sdk,4,| **Google Stitch** | `npm install @google/stitch-sdk` + API key | Higher fidelity AI designs | ~10-20s/screen | Design-
@tiny-fish/cli,4,> Install the TinyFish CLI: `npm install -g @tiny-fish/cli`
playwright-core,4,"- `error.code === ""PLAYWRIGHT_UNAVAILABLE""` — Playwright fallback 을 명시적으로 쓰려는데 모듈이 깔려있지 않음. `npm i rebrowser-playwright`"
mysql2,4,| MySQL      | `npm install mysql2` |
@cobo/agentic-wallet,4,"| LangChain | TypeScript | `npm install @cobo/agentic-wallet` | `import { CoboAgentWalletToolkit } from ""@cobo/agentic-w"
@qfei-design/make-filter,4,- `pnpm-lock.yaml` -> `pnpm add @qfei-design/make-filter@^0.2.2`
@qfei-design/canvas-table,4,- `pnpm-lock.yaml` -> `pnpm add @qfei-design/canvas-table`
@axe-core/playwright,4,1. Install Playwright: `npm install -D @playwright/test @axe-core/playwright && npx playwright install chromium`
anti-detect-browser,4,3. `npm install anti-detect-browser`
mcp-remote,4,"**On failure:** If R mcptools fails, check that the R version path is correct and that mcptools is installed in the R li"
@webflow/react,4,"76: | ""Module not found"" | Build | `npm install --save-dev @webflow/react` |"
bn.js,4,> Copy-paste-ready scripts. Install dependencies: `npm install @solana/web3.js bn.js @jup-ag/lend @jup-ag/lend-read`
@jup-ag/lend,4,> Copy-paste-ready scripts. Install dependencies: `npm install @solana/web3.js bn.js @jup-ag/lend @jup-ag/lend-read`
@jup-ag/lend-read,4,> Copy-paste-ready scripts. Install dependencies: `npm install @solana/web3.js bn.js @jup-ag/lend @jup-ag/lend-read`
@beads/bd,3,- **npm:** `npm install -g @beads/bd`
@orth/cli,3,- Orthogonal CLI: `npm install -g @orth/cli`
resend,3,"Install the `resend` npm package: `npm install resend` (or the equivalent for your language). For full sending docs, ins"
mcp,3,- `npm install -g @microsoft/workiq` (or `npx -y @microsoft/workiq mcp`).
my-sdk,3,<Tab>```bash npm install my-sdk ```</Tab>
next-intl,3,**1. Install**: `npm install next-intl` or `react-i18next`
z-schema,3,Install: `npm install z-schema`
@steipete/summarize,3,- summarize: `npm i -g @steipete/summarize`
@xai-official/grok,3,- **Install (preferred):** `npm install -g @xai-official/grok`
just-scrape,3,"compatibility: ""Requires the just-scrape CLI (`npm install -g just-scrape`). Requires `SGAI_API_KEY` for ScrapeGraph AI "
gsap,3,- ✅ Install everything from the public `gsap` npm package: `npm install gsap`. All plugins are included — import them as
newman,3,Install: `npm install -g newman`
@vectorize-io/hindsight-client,3,- Node.js: `npm install @vectorize-io/hindsight-client`
rebrowser-playwright,3,| `rebrowser` | Chromium (stealth) | Alternative stealth approach | `npm install rebrowser-playwright` |
@scoutqa/cli,3,| `command not found: scoutqa`   | Install CLI: `npm i -g @scoutqa/cli@latest`                 |
@mem0/cli,3,If `MEM0_API_KEY` is missing AND the track is **Platform** → **default to Agent Mode**: run `mem0 init --agent --agent-c
typescript-language-server,3,| TS/JS    | `typescript-language-server` | `npm i -g typescript-language-server`         |
dep,3,| Installing dependencies outside their owning package | Duplication in bundles; deduplication breaks; version conflicts
@adobe/aem-cli,3,"If `npm install -g @adobe/aem-cli` fails with `File exists: …/hlx`, the old package is still"
@quicknode/x402,3,Install: `npm install @quicknode/x402`
@alibaba-group/open-code-review,3,"- **Installation**: if `ocr` command is not found, install it by running `npm i -g @alibaba-group/open-code-review`"
pg,3,"- On Vercel, use `node-postgres` (`npm install pg`) with Vercel Fluid compute and `import { attachDatabasePool } from ""@"
update,3,!`if ! command -v gsd-sdk >/dev/null 2>&1; then printf '⚠ gsd-sdk not found in PATH — /gsd:set-profile requires it.\n\nI
@larksuite/cli,3,"`npm install -g @larksuite/cli`, then `lark-cli config init` (scan the QR), then `lark-cli auth login`."
pinme,3,| `command not found: pinme` | `npm install -g pinme` |
@ai-sdk/anthropic,3,- **Install:** `npm install ai @ai-sdk/openai @ai-sdk/anthropic`
langchain,3,- **Install:** `npm install langchain @langchain/openai`
openai,3,- `npm install openai` (OpenAI)
mercadopago,3,| node | `npm install mercadopago` |
npm-check-updates,3,| npm | `ncu --format group` | Requires `npm-check-updates`. Suggest `npm install -g npm-check-updates` if missing. |
daisyui,3,"3. daisyUI 5 can be installed using `npm i -D daisyui@latest` and then adding `@plugin ""daisyui"";` to the CSS file"
prisma,3,"| `npm run`, `npx`, `yarn add`, `pnpm exec` in scripts, CI YAML, or docs | Bun is the only package manager; replace with"
migrate,3,"| `npm run`, `npx`, `yarn add`, `pnpm exec` in scripts, CI YAML, or docs | Bun is the only package manager; replace with"
init,3,| HyperFrames not found | `npm install -g hyperframes` then `npx hyperframes init` |
next,3,| Next.js version | `npm list next` | `npm install next@15.5.2` |
add-plugin,3,2. **Plugin install**: Use `npx add-plugin <path> -s project -y --target claude-code` — works because claude is in PATH 
project,3,2. **Plugin install**: Use `npx add-plugin <path> -s project -y --target claude-code` — works because claude is in PATH 
@agent-eyes/agent-eyes,3,- `pnpm add -D @agent-eyes/agent-eyes`
elm-review,3,"For setup/execution, prefer local install with `npm install --save-dev elm-review` and run via `npx elm-review`; global "
@cognite/dune,3,- pnpm → `pnpm add @cognite/dune @cognite/sdk @tanstack/react-query && pnpm add -D vite-plugin-mkcert`
@cognite/sdk,3,- pnpm → `pnpm add @cognite/dune @cognite/sdk @tanstack/react-query && pnpm add -D vite-plugin-mkcert`
react-pdf,3,- pnpm → `pnpm add react-pdf@^9.1.1`
@sinclair/typebox,3,- pnpm → `pnpm add @sinclair/typebox@^0.33.0 ajv@^8.17.1 ajv-formats@^2.1.1`
ajv-formats,3,- pnpm → `pnpm add @sinclair/typebox@^0.33.0 ajv@^8.17.1 ajv-formats@^2.1.1`
lodash,3,| Runtime library | `--save` | `npm i lodash` |
felo-ai,3,**Packaged CLI** (after `npm install -g felo-ai`):
