package,mentions,classification,has_bin,description,keywords,error
gitnexus,11,cli,True,"Graph-powered code intelligence for AI agents. Index any codebase, query via MCP or CLI.","mcp,model-context-protocol,code-intelligence,knowledge-graph,cursor,claude,codex,ai-agent,gitnexus,static-analysis,codebase-indexing",
@llamaindex/liteparse,11,cli,True,"Fast, lightweight PDF and document parsing with spatial text extraction","pdf,parser,ocr,text-extraction,pdf-to-text,document-parsing",
hyperframes,11,cli,True,"HyperFrames CLI — create, preview, and render HTML video compositions",,
bun,11,cli,True,Bun is a fast all-in-one JavaScript runtime.,"bun,bun.js,node,node.js,runtime,bundler,transpiler,typescript",
@emblemvault/agentwallet,11,cli,True,"CLI for EmblemAI - autonomous crypto wallet management with browser auth, streaming, and plugins","ai,crypto,hustle,emblem,agent,wallet,solana,ethereum,defi,trading,openclaw,tui",
sonner,11,library,False,An opinionated toast component for React.,"react,notifications,toast,snackbar,message",
@iblai/iblai-web-mentor,11,library,False,IBL AI Mentor,"AI,Mentor,Artificial,Intelligence,LLM",
apify,10,library,False,The scalable web crawling and scraping library for JavaScript/Node.js. Enables development of data extraction and web automation jobs (not only) with ,"apify,headless,chrome,puppeteer,crawler,scraper",
eslint,10,cli,True,An AST-based pattern checker for JavaScript.,"ast,lint,javascript,ecmascript,espree",
portless,10,cli,True,"Replace port numbers with stable, named .localhost URLs. For humans and agents.","local,development,proxy,localhost",
pyright,10,cli,True,Type checker for the Python language,,
@labring/sealos-desktop-sdk,10,library,False,sealos desktop sdk,,
vibium,10,cli,True,Browser automation for AI agents and humans,"browser,automation,testing,webdriver,bidi,mcp,ai,claude",
@cloudbase/js-sdk,9,library,False,cloudbase javascript sdk,"tcb,cloudbase,Cloudbase,serverless,Serverless,javascript,JavaScript",
@azure/cosmos,9,library,False,Microsoft Azure Cosmos DB Service Node.js SDK for NOSQL API,"cosmosdb,cosmos db,documentdb,document database,azure,nosql,database,cloud,azure",
@azure/arm-cosmosdb,9,library,False,A generated SDK for CosmosDBManagementClient.,"node,azure,cloud,typescript,browser,isomorphic",
@azure/identity,9,likely-cli (no bin field found),False,Provides credential implementations for Azure SDK libraries that can authenticate with Microsoft Entra ID,"azure,cloud,entra id,authentication,credential,certificate,managed identity,client secret,access token",
@x402/evm,9,library,False,x402 Payment Protocol EVM Implementation,"x402,payment,protocol,evm,ethereum",
better-auth,9,library,False,The most comprehensive authentication framework for TypeScript.,"auth,oauth,oidc,2fa,social,security,typescript,nextjs",
@jackwener/opencli,9,cli,True,Make any website or Electron App your CLI. AI-powered.,"cli,browser,web,ai",
mint,9,cli,True,The Mintlify CLI,"mintlify,mint,cli",
@vapi-ai/server-sdk,9,library,False,[![fern shield](https://img.shields.io/badge/%F0%9F%8C%BF-Built%20with%20Fern-brightgreen)](https://buildwithfern.com?utm_source=github&utm_medium=git,,
@vapi-ai/web,9,library,False,This package lets you start Vapi calls directly in your webapp.,,
vitest,9,cli,True,Next generation testing framework powered by Vite,"vite,vitest,test,jest",
@shopify/cli,8,cli,True,A CLI tool to build for the Shopify platform,"shopify,shopify-cli,shopify-partners",
@actionbookdev/json-ui,8,cli,True,Universal JSON-to-UI rendering components for AI Agent reports,"json-render,json-ui,ui,report,ai-agent,actionbook,react,zod,html-report",
@lambdatest/smartui-cli,8,cli,True,A command line interface (CLI) to run SmartUI tests on LambdaTest,"lambdatest,smartui,cli",
newman-reporter-htmlextra,8,cli,True,A newman reporter with added handlebars helpers and separated request iterations,"newman,reporter,html,htmlextra",
vite-plugin-neon-new,8,library,False,"This Vite plugin instantly provisions a Postgres instance (via Neon) and injects the connection string into your `.env` file, so you can start develop","neon,database,postgres,vite,neon-new",
@getpara/cli,8,cli,True,"Unified CLI for Para SDK - project scaffolding, diagnostics, and API key management","para,cli,scaffolding,diagnostics,api-keys,web3,wallet",
agentwallet-sdk,8,library,False,"Non-custodial AI agent wallet SDK. ERC-8004 identity & reputation registries, mutual stake escrow, x402 payments, x402 upto billing policy accounting,","agent-wallet,ai-agent,crypto,web3,erc-6551,x402,agentic-wallet,base,non-custodial,spend-limits,machine-payments,agent-payments,autonomous-agent,token-bound-account,erc-8004,reputation,validation,mutual-stake-escrow,cctp-bridge",
oh-my-claude-sisyphus,8,cli,True,Multi-agent orchestration system for Claude Code - Inspired by oh-my-opencode,"claude,claude-code,ai,agent,multi-agent,orchestration,omc,claudecode,anthropic,llm",
jsonwebtoken,8,library,False,JSON Web Token implementation (symmetric and asymmetric),jwt,
@composio/core,7,library,False,,,
@composio/vercel,7,library,False,,,
@types/jest,7,library,False,TypeScript definitions for jest,,
akf-format,7,library,False,AKF — Agent Knowledge Format SDK for TypeScript,"akf,trust,metadata,ai,provenance,agent-knowledge-format",
@raydenui/ui,7,library,False,A modern React UI component library,"react,ui,components,tailwind,design-system,react19,ui-components,component-library,tailwindcss,design-system,typescript,storybook,accessible,a11y,wcag,figma,rayna-ui,dashboard,enterprise,form,table,modal,@raydenui/ai,design system",
@noble/ed25519,7,library,False,"Fastest 5KB JS implementation of ed25519 EDDSA signatures compliant with RFC8032, FIPS 186-5 & ZIP215","ed25519,rfc8032,fips186,signature,eddsa,noble,cryptography,elliptic curve,rfc7748,zip215,x25519,curve25519",
pdfjs-dist,7,library,False,Generic build of Mozilla's PDF.js library.,"Mozilla,pdf,pdf.js",
open-agreements,7,cli,True,Open-source legal template filling CLI and library,"legal,template,templates,agreement,nda,agreements,docx,contract,fill,cli,mcp,claude,legal-tech,open-source,safe,nvca,template-engine,document-generation,contract-automation,iso-27001,soc-2,compliance,audit,grc,evidence-collection",
genkit-cli,7,cli,True,CLI for interacting with the Google Genkit AI framework,"genkit,ai,genai,generative-ai",
wagmi,7,library,False,React Hooks for Ethereum,"wagmi,react,hooks,eth,ethereum,dapps,wallet,web3",
@tailwindcss/postcss,7,library,False,"PostCSS plugin for Tailwind CSS, a utility-first CSS framework for rapidly building custom user interfaces",,
postcss,7,library,False,Tool for transforming styles with JS plugins,"css,manipulation,parser,postcss,preprocessor,rework,source map,transform,transpiler",
@moonpay/cli,7,cli,True,MoonPay CLI — how agents move money,,
sfw,7,cli,True,Socket Firewall wrapper that verifies latest release and then runs npm with original args.,,
@ucp-js/sdk,7,library,False,UCP SDK for JavaScript,,
express,6,library,False,"Fast, unopinionated, minimalist web framework","express,framework,sinatra,web,http,rest,restful,router,app,api",
@nodeops-createos/integration-oauth,6,library,False,NodeOps PKCE OAuth 2.0 for Next.js,,
playwright-chromium,6,cli,True,A high-level API to automate Chromium,,
@microsoft/workiq,6,cli,True,MCP server for Microsoft 365 Copilot,"copilot,m365,mcp,mcp-server,ai,agents,workiq",
opencode-ai,6,cli,True,,,
@nx/eslint-plugin,6,likely-cli (no bin field found),False,The eslint-plugin package is an ESLint plugin that contains a collection of recommended ESLint rule configurations which you can extend from in your o,"Monorepo,Web,Lint,ESLint,CLI,Testing",
typescript-eslint,6,library,False,Tooling which enables you to use TypeScript with ESLint,"ast,ecmascript,javascript,typescript,parser,syntax,eslint,eslintplugin,eslint-plugin",
@nx/react,6,likely-cli (no bin field found),False,"The React plugin for Nx contains executors and generators for managing React applications and libraries within an Nx workspace. It provides:


- Integ","Monorepo,React,Web,Jest,Cypress,CLI,Front-end",
jest-environment-jsdom,6,library,False,,,
ts-jest,6,cli,True,A Jest transformer with source map support that lets you use Jest to test projects written in TypeScript,"jest,typescript,sourcemap,react,testing",
pngjs,6,library,False,"PNG encoder/decoder in pure JS, supporting any bit size & interlace, async & sync with full test suite.","PNG,decoder,encoder,js-png,node-png,parser,png,png-js,png-parse,pngjs",
@marswave/coli,6,cli,True,A CLI for the Cola,,
mmx-cli,6,cli,True,CLI for the MiniMax AI Platform,,
@total-typescript/shoehorn,6,library,False,Work seamlessly with partial mocks in TypeScript.,,
@angular/cli,6,cli,True,CLI tool for Angular,"Angular CLI,Angular DevKit,angular,angular-cli,devkit,sdk",
openclaw,6,cli,True,Multi-channel AI gateway with extensible messaging integrations,,
tsc,6,cli,True,A deprecated release of the TypeScript compiler,typescript,
@forge/cli,6,cli,True,A command line interface for managing Atlassian-hosted apps,,
pixelmatch,6,cli,True,The smallest and fastest pixel-level image comparison library.,"image,comparison,diff",
@opensea/cli,6,cli,True,OpenSea CLI - Query the OpenSea API from the command line or programmatically,"opensea,nft,cli,api,web3",
@midscene/core,6,library,False,"Automate browser actions, extract data, and perform assertions using AI. It offers JavaScript SDK, Chrome extension, and support for scripting in YAML",,
@midscene/shared,6,library,False,"An AI-powered automation SDK can control the page, perform assertions, and extract data in JSON format using natural language.",,
dmux,6,cli,True,Tmux pane manager with AI agent integration for parallel development workflows,"tmux,claude,ai,development,worktree,git,terminal,cli",
neural-trader,6,cli,True,"High-performance neural trading system with complete NAPI API (178 functions), advanced CLI with interactive mode, GPU acceleration, real-time executi","trading,neural-networks,algorithmic-trading,finance,mcp,rust,high-performance,gpu-acceleration,backtesting,portfolio-optimization,healthcare,logistics,energy-grid,supply-chain,quantum-optimization,anomaly-detection,adaptive-systems,market-microstructure,swarm-intelligence,self-learning",
skills,6,cli,True,The open agent skills ecosystem,"cli,agent-skills,skills,ai-agents,aider-desk,amp,antigravity,antigravity-cli,astrbot,autohand-code,augment,bob,claude-code,openclaw,cline,codearts-agent,codebuddy,codemaker,codestudio,codex,command-code,continue,cortex,crush,cursor,deepagents,devin,dexto,droid,eve,firebender,forgecode,gemini-cli,github-copilot,goose,grok,hermes-agent,inference-sh,jazz,junie,iflow-cli,kilo,kimchi,kimi-code-cli,kiro-cli,kode,lingma,loaf,mcpjam,minimax-code,mistral-vibe,moxby,mux,opencode,openhands,ona,pi,qoder,qoder-cn,qwen-code,replit,reasonix,rovodev,roo,tabnine-cli,terramind,tinycloud,trae,trae-cn,warp,windsurf,zed,zcode,zencoder,zenflow,neovate,pochi,promptscript,adal,universal",
pyodide,6,library,False,The Pyodide JavaScript package,"python,webassembly",
cyrus-core,6,library,False,Core business logic for Cyrus,,
@sinch/sdk-core,6,library,False,Node.js client for the Sinch API platform,,
puppeteer-core,6,library,False,A high-level API to control headless Chrome over the DevTools Protocol,"puppeteer,chrome,headless,automation",
olakai-cli,6,cli,True,Olakai CLI tool,"olakai,cli",
@avail-project/nexus-core,6,library,False,Nexus headless SDK for cross-chain transactions,"nexus,sdk,blockchain,bridge,swap,web3,chain,abstraction,headless",
@supsub/cli,6,cli,True,supsub command-line tool,"supsub,cli,subscription,rss,wechat,mp",
@googleworkspace/cli,6,cli,True,Google Workspace CLI — dynamic command surface from Discovery Service,"cli,google-workspace,google,google-api,google-drive,google-gmail,google-sheets,google-calendar,google-docs,google-chat,google-admin,gsuite,discovery-api,ai-agent,agent-skills,automation,oauth2,rust",
@sentry/nextjs,6,library,False,Official Sentry SDK for Next.js,,
sfcc-ci,6,cli,True,Command line tool to allow Continuous Integration practices with Salesforce Commerce Cloud instances,,
@bigcommerce/big-design,6,library,False,BigDesign React components.,,
@saleor/cli,6,cli,True,"<div align=""center"">   <img width=""150"" alt=""saleor-cli"" src=""https://user-images.githubusercontent.com/200613/221163557-797cf981-3c65-4a0b-afd3-304b6",,
@saleor/app-sdk,6,library,False,SDK for building great Saleor Apps,"saleor,ecommerce,sdk,app,webhook",
knip,5,cli,True,"Find and fix unused dependencies, exports and files in your TypeScript and JavaScript projects","analysis,analyze,class,cli,dead code,dependencies,detect,devDependencies,duplicate,entropy,enum,export,files,find,javascript,lint,maintenance,members,missing,monorepo,namespace,package,scan,types,typescript,unreferenced,unresolved,unused,workspace",
@stripe/cli,5,cli,True,The Stripe CLI,,
snyk,5,cli,True,snyk library and cli utility,"security,vulnerabilities,advisories,audit,snyk,scan,docker,container,scanning",
@railway/cli,5,cli,True,Develop and deploy code with zero configuration,,
@marswave/listenhub-cli,5,cli,True,Command-line interface for ListenHub,,
@membranehq/cli,5,cli,True,A command-line interface for working with Membrane in local development environment.,"cli,integration,membrane",
browser-use-sdk,5,library,False,Official TypeScript SDK for the Browser Use API,"browser-use,browser,automation,ai,agent,web-agent,sdk",
@qdrant/js-client-rest,5,library,False,,,
camoufox-js,5,cli,True,Experimental JS port of Camoufox for Python.,,
agentation,5,library,False,Visual feedback for AI coding agents,,
@supabase/supabase-js,5,library,False,Isomorphic Javascript SDK for Supabase,"javascript,typescript,supabase",
bash-language-server,5,cli,True,A language server for Bash,,
yaml-language-server,5,cli,True,YAML language server,"yaml,LSP",
netlify-cli,5,cli,True,Netlify command line tool,"api,cli,netlify,static",
@github/copilot,5,cli,True,GitHub Copilot CLI brings the power of Copilot coding agent directly to your terminal.,,
socialclaw,5,cli,True,"Social media scheduling CLI and OpenClaw skill for AI agents posting to X, LinkedIn, Instagram, Facebook Pages, TikTok, Discord, Telegram, YouTube, Re","social media,social media scheduling,social media scheduler,social media publishing,social media api,publishing api,scheduler,publishing,cli,oauth,mcp,model-context-protocol,model context protocol,mcp server,ai agent,agentic ai,claude,chatgpt,cursor,socialclaw,ai agents,openclaw,clawhub,claude code,codex,x,linkedin,instagram,facebook pages,tiktok,discord,telegram,youtube,reddit,wordpress,pinterest",
@databricks/appkit,5,cli,True,Build Databricks Apps faster with our brand-new Node.js + React SDK. Built for humans and AI.,,
@playwright/cli,5,cli,True,Playwright CLI,,
doctor,5,cli,True,Create documentation from or otherwise analyze/transform JavaScript source.,,
eve,5,cli,True,Filesystem-first framework for durable backend AI agents that run anywhere.,"agent-framework,agents,ai-agents,ai-sdk,evals,eve,mcp,model-context-protocol,nextjs,observability,react,serverless,tools,vercel,workflow",
firecrawl-cli,5,cli,True,"Command-line interface for Firecrawl. Scrape, crawl, and extract data from any website directly from your terminal.","firecrawl,cli,web-scraping,crawler,scraper,data-extraction,llm,markdown,search,web search,skill",
undici,5,library,False,"An HTTP/1.1 client, written from scratch for Node.js","fetch,http,https,promise,request,curl,wget,xhr,whatwg",
lucide-react,5,library,False,A Lucide icon library package for React applications.,"Lucide,React,Feather,Icons,Icon,SVG,Feather Icons,Fontawesome,Font Awesome",
@solana/web3.js,5,library,False,Solana Javascript API,"api,blockchain",
tsx,5,cli,True,TypeScript Execute (tsx): Node.js enhanced with esbuild to run TypeScript & ESM files,"cli,runtime,node,cjs,commonjs,esm,typescript,typescript runner",
firebase,5,library,False,Firebase JavaScript library for web and Node.js,"authentication,database,Firebase,firebase,realtime,storage,performance,remote-config",
edgeone,5,cli,True,Command-line interface for TencentCloud Pages Functions,"tencent,edgeone,edgefunctions,edgeone,cli,typescript",
jsdom,5,library,False,A JavaScript implementation of many web standards,"dom,html,whatwg,w3c",
convex,5,cli,True,Client for the Convex Cloud,"convex,database,react,state,serverless",
@browserbasehq/browse-cli,5,cli,True,"Browser automation CLI for AI agents, built on Stagehand","browser,automation,cli,ai,agent,chrome,cdp,web-scraping,testing,stagehand",
@wenyan-md/cli,5,cli,True,A CLI tool for Wenyan markdown rendering & publishing,"公众号,markdown,文颜,wenyan,wechat,publishing,renderer",
socket,5,cli,True,CLI for Socket.dev,,
tool,4,library,False,Build tools,,
bird-cli,4,cli,True,自动化新建项目模块!,,
axiom,4,cli,True,Axiom AI SDK provides - an API to wrap your AI calls with observability instrumentation. - offline evals - online evals,"axiom,logging,ai,otel,opentelemetry",
acpx,4,cli,True,Headless CLI client for the Agent Client Protocol (ACP) — talk to coding agents from the command line,"acp,agent-client-protocol,ai,claude-code,cli,codex,coding-agent",
analyze,4,cli,True,analyze -------,,
postman-cli,4,cli,True,"Official Postman CLI - Command-line companion for API development, testing, and automation","postman,cli,api,testing,automation,rest,newman,api-testing,api-development,ci-cd,continuous-integration,postman-cli,api-client,http-client,api-automation,collection-runner,postman-collection,api-governance,api-security,api-linting,api-validation,contract-testing,schema-validation,devops,pipeline,github-actions,gitlab-ci,azure-devops,jenkins,circleci,integration-testing,functional-testing,test-reports,junit-reports,html-reports,postman-automation,postman-testing,postman-runner,postman-monitor,rest-api,http-testing,api-tools",
axe-core,4,library,False,Accessibility engine for automated Web UI testing,"Accessibility,a11y,testing,unit,tdd,bdd,axe",
altimate-code,4,cli,True,The AI-native data engineering agent for the terminal,,
@x402/fetch,4,library,False,x402 Payment Protocol Fetch Extension,,
supermemory,4,cli,True,The official TypeScript library for the Supermemory API,,
pixi.js,4,library,False,"<p align=""center"">   <a href=""https://pixijs.com"" target=""_blank"" rel=""noopener noreferrer"">     <img height=""150"" src=""https://files.pixijs.download/",,
@wix/design-system,4,library,False,@wix/design-system,,
git-escrows,4,cli,True,Git-based escrow system for code challenges and bounties,,
chainbase-cli,4,cli,True,CLI for Chainbase Web3 API and Tops crypto social intelligence,,
x402,4,library,False,x402 Payment Protocol,,
mapbox-gl,4,library,False,A WebGL interactive maps library,,
@vercel/before-and-after,4,cli,True,Simple before/after screenshot tool for capturing and comparing web pages,"screenshot,before-after,visual-diff,comparison,capture,web,testing,cli",
@zeroxyz/cli,4,cli,True,"The `zero` CLI lets AI agents discover, call, and review capabilities indexed by Zero.",,
@capacitor/core,4,library,False,Capacitor: Cross-platform apps with JavaScript and the web,,
@microsoft/learn-cli,4,cli,True,CLI for the Microsoft Learn MCP server.,"microsoft,learn,mcp,cli,azure,docs",
ws,4,library,False,"Simple to use, blazing fast and thoroughly tested websocket client and server for Node.js","HyBi,Push,RFC-6455,WebSocket,WebSockets,real-time",
@alwaysmeticulous/cli,4,cli,True,The Meticulous CLI,,
wscat,4,cli,True,WebSocket cat,"wscat,websocket,cat",
@adobe/aio-cli,4,cli,True,"Adobe I/O Extensible CLI

*******   *******
******     ******
*****       *****
****    *    ****
***    ***    ***
**    *****    **
*         **    ",oclif,
@modelcontextprotocol/server-azure,4,unknown,False,,,HTTP 404
@vtsls/language-server,4,cli,True,LSP wrapper for typescript extension of vscode,language-server-protocol,
vtsls,4,unknown,False,,,HTTP 404
vscode-json-languageserver,4,cli,True,JSON language server,,
vscode-html-languageserver,4,unknown,False,,,HTTP 404
vscode-css-languageserver,4,unknown,False,,,HTTP 404
hermesone,4,cli,True,"Installer and updater for the Hermes One desktop app, and a registry installer (`add`) for skills, MCP servers, agents, and workflows.",hermesone,
envio-cloud,4,cli,True,CLI for Envio Cloud — manage and monitor blockchain indexers powered by HyperIndex,"envio,hyperindex,blockchain,indexer,hosted-service,cli,web3",
jose,4,library,False,"JWA, JWS, JWE, JWT, JWK, JWKS for Node.js, Browser, Cloudflare Workers, Deno, Bun, and other Web-interoperable runtimes","akp,browser,bun,cloudflare,compact,decode,decrypt,deno,detached,ec,ecdsa,ed25519,eddsa,edge,electron,embedded,encrypt,flattened,general,jose,json web token,jsonwebtoken,jwa,jwe,jwk,jwks,jws,jwt-decode,jwt,ml-dsa,netlify,next,nextjs,oct,okp,payload,pem,pkcs8,rsa,sign,signature,spki,validate,vercel,verify,webcrypto,workerd,workers,x509",
@modelcontextprotocol/sdk,4,library,False,Model Context Protocol implementation for TypeScript,"modelcontextprotocol,mcp",
@ai-sdk/openai,4,library,False,The **[OpenAI provider](https://ai-sdk.dev/providers/ai-sdk-providers/openai)** for the [AI SDK](https://ai-sdk.dev/docs) contains language model supp,ai,
@misha_misha/skill-issue,4,cli,True,Lint coding-agent skills for activation: find skills too vague to fire and skills that collide so one silently never runs.,"claude-code,claude-plugin,agent-skills,skill,activation,lint,codex,agents",
@lap-platform/lapsh,4,cli,True,TypeScript SDK for LAP (Lean API Platform) -- Parse and work with LAP API specifications,"api,openapi,ai,llm,agents,compression,lap",
@kitschpatrol/tldraw-cli,4,cli,True,A CLI tool and TypeScript library for exporting tldraw sketches to PNG or SVG images.,"tldraw,tldr,cli,diagram,drawing,sketch,export,npm-package",
@hasna/skills,4,cli,True,Skills library for AI coding agents,"skills,ai,agent,cli,typescript,bun,claude,codex,gemini,mcp,model-context-protocol,open-source,skills-library,automation",
claude-code,4,cli,True,Pointer to the official Claude Code package at @anthropic-ai/claude-code,"claude,anthropic,ai,cli",
zcatalyst-cli,4,cli,True,Command Line Tool for CATALYST,"cli,cloud,hosting,catalyst,zoho,microservice,client,functions,zcatalyst",
phaser,4,library,False,"A fast, free and fun HTML5 Game Framework for Desktop and Mobile web browsers from the team at Phaser Studio Inc.","2d,HTML5,WebGL,canvas,game,javascript,physics,tweens,typescript,web audio",
lim,4,cli,True,"Use remote XCode, Gradle, iOS Simulator, Android Emulator and more to build and test apps from Linux, Windows or macOS.",,
@tanstack/react-query,4,library,False,"Hooks for managing, caching and syncing asynchronous and remote data in React",,
three,4,library,False,JavaScript 3D library,"three,three.js,javascript,3d,virtual-reality,augmented-reality,webgl,webgl2,webaudio,webgpu,webxr,canvas,svg,html5",
